5.10,3.5,1.4,0.2,0
4.90,3,1.4,0.2,0
4.70,3.2,1.3,0.2,0
4.60,3.1,1.5,0.2,0
5.00,3.6,1.4,0.2,0
5.40,3.9,1.7,0.4,0
4.60,3.4,1.4,0.3,0
5.00,3.4,1.5,0.2,0
4.40,2.9,1.4,0.2,0
4.90,3.1,1.5,0.1,0
5.40,3.7,1.5,0.2,0
4.80,3.4,1.6,0.2,0
4.80,3,1.4,0.1,0
4.30,3,1.1,0.1,0
5.80,4,1.2,0.2,0
5.70,4.4,1.5,0.4,0
5.40,3.9,1.3,0.4,0
5.10,3.5,1.4,0.3,0
5.70,3.8,1.7,0.3,0
5.10,3.8,1.5,0.3,0
5.40,3.4,1.7,0.2,0
5.10,3.7,1.5,0.4,0
4.60,3.6,1,0.2,0
5.10,3.3,1.7,0.5,0
4.80,3.4,1.9,0.2,0
5.00,3,1.6,0.2,0
5.00,3.4,1.6,0.4,0
5.20,3.5,1.5,0.2,0
5.20,3.4,1.4,0.2,0
4.70,3.2,1.6,0.2,0
4.80,3.1,1.6,0.2,0
5.40,3.4,1.5,0.4,0
5.20,4.1,1.5,0.1,0
5.50,4.2,1.4,0.2,0
4.90,3.1,1.5,0.1,0
5.00,3.2,1.2,0.2,0
5.50,3.5,1.3,0.2,0
4.90,3.1,1.5,0.1,0
4.40,3,1.3,0.2,0
5.10,3.4,1.5,0.2,0
5.00,3.5,1.3,0.3,0
4.50,2.3,1.3,0.3,0
4.40,3.2,1.3,0.2,0
5.00,3.5,1.6,0.6,0
5.10,3.8,1.9,0.4,0
4.80,3,1.4,0.3,0
5.10,3.8,1.6,0.2,0
4.60,3.2,1.4,0.2,0
5.30,3.7,1.5,0.2,0
5.00,3.3,1.4,0.2,0
7.00,3.2,4.7,1.4,0
6.40,3.2,4.5,1.5,0
6.90,3.1,4.9,1.5,0
5.50,2.3,4,1.3,0
6.50,2.8,4.6,1.5,0
5.70,2.8,4.5,1.3,0
6.30,3.3,4.7,1.6,0
4.90,2.4,3.3,1,0
6.60,2.9,4.6,1.3,0
5.20,2.7,3.9,1.4,0
5.00,2,3.5,1,0
5.90,3,4.2,1.5,0
6.00,2.2,4,1,0
6.10,2.9,4.7,1.4,0
5.60,2.9,3.6,1.3,0
6.70,3.1,4.4,1.4,0
5.60,3,4.5,1.5,0
5.80,2.7,4.1,1,0
6.20,2.2,4.5,1.5,0
5.60,2.5,3.9,1.1,0
5.90,3.2,4.8,1.8,0
6.10,2.8,4,1.3,0
6.30,2.5,4.9,1.5,0
6.10,2.8,4.7,1.2,0
6.40,2.9,4.3,1.3,0
6.60,3,4.4,1.4,0
6.80,2.8,4.8,1.4,0
6.70,3,5,1.7,0
6.00,2.9,4.5,1.5,0
5.70,2.6,3.5,1,0
5.50,2.4,3.8,1.1,0
5.50,2.4,3.7,1,0
5.80,2.7,3.9,1.2,0
6.00,2.7,5.1,1.6,0
5.40,3,4.5,1.5,0
6.00,3.4,4.5,1.6,0
6.70,3.1,4.7,1.5,0
6.30,2.3,4.4,1.3,0
5.60,3,4.1,1.3,0
5.50,2.5,4,1.3,0
5.50,2.6,4.4,1.2,0
6.10,3,4.6,1.4,0
5.80,2.6,4,1.2,0
5.00,2.3,3.3,1,0
5.60,2.7,4.2,1.3,0
5.70,3,4.2,1.2,0
5.70,2.9,4.2,1.3,0
6.20,2.9,4.3,1.3,0
5.10,2.5,3,1.1,0
5.70,2.8,4.1,1.3,0
6.30,3.3,6,2.5,0
5.80,2.7,5.1,1.9,0
7.10,3,5.9,2.1,0
6.30,2.9,5.6,1.8,0
6.50,3,5.8,2.2,0
7.60,3,6.6,2.1,0
4.90,2.5,4.5,1.7,0
7.30,2.9,6.3,1.8,0
6.70,2.5,5.8,1.8,0
7.20,3.6,6.1,2.5,0
6.50,3.2,5.1,2,0
6.40,2.7,5.3,1.9,0
6.80,3,5.5,2.1,0
5.70,2.5,5,2,0
5.80,2.8,5.1,2.4,0
6.40,3.2,5.3,2.3,0
6.50,3,5.5,1.8,0
7.70,3.8,6.7,2.2,0
7.70,2.6,6.9,2.3,0
6.00,2.2,5,1.5,0
6.90,3.2,5.7,2.3,0
5.60,2.8,4.9,2,0
7.70,2.8,6.7,2,0
6.30,2.7,4.9,1.8,0
6.70,3.3,5.7,2.1,0
7.20,3.2,6,1.8,0
6.20,2.8,4.8,1.8,0
6.10,3,4.9,1.8,0
6.40,2.8,5.6,2.1,0
7.20,3,5.8,1.6,0
7.40,2.8,6.1,1.9,0
7.90,3.8,6.4,2,0
6.40,2.8,5.6,2.2,0
6.30,2.8,5.1,1.5,0
6.10,2.6,5.6,1.4,0
7.70,3,6.1,2.3,0
6.30,3.4,5.6,2.4,0
6.40,3.1,5.5,1.8,0
6.00,3,4.8,1.8,0
6.90,3.1,5.4,2.1,0
6.70,3.1,5.6,2.4,0
6.90,3.1,5.1,2.3,0
5.80,2.7,5.1,1.9,0
6.80,3.2,5.9,2.3,0
6.70,3.3,5.7,2.5,0
6.70,3,5.2,2.3,0
6.30,2.5,5,1.9,0
6.50,3,5.2,2,0
6.20,3.4,5.4,2.3,0
5.90,3,5.1,1.8,0
